drep_type	drep_hash	stake	vote	bucket	stored_active	stored_expiry	stored_last_interaction	recomputed_active	recomputed_expiry	fallback_expiry	fallback_active
0	82a666f4beed3f7c2de0a674518d7c14d66c95fe0b29494c0e8b81cc	422999365		EXCLUDED_INACTIVE	false	558		false	558	558	false
0	3b5eadf4b8d031ee6947f8cf29afe37dc112ef9eeb08d74b6c584898	412236825		EXCLUDED_INACTIVE	false	532		false	532	532	false
0	a28fec6034ae0f29f84bf483f6c83e204be8bc49e44de67d601e2cf9	366719286		EXCLUDED_INACTIVE	false	556		false	556	556	false
0	4fd69dc46785419c1ad78ef9537f90fd1754bcd73b0a73f3ef6e9bcc	362878973		EXCLUDED_INACTIVE	false	539		false	539	539	false
0	6f26e179085964a555cb0b976bd9cc113e573cb2ae4c7b9552803a8b	359994360		EXCLUDED_INACTIVE	false	529		false	529	507	false
0	9d8d29a53b5792a6d8f115910e9be9d7886ca52331d313472396815f	350519911		EXCLUDED_INACTIVE	false	537	514	false	537	537	false
0	1636bfea2ed8289f2312efadde57ac90bfc8a67d71c42285ab64f6e8	331002632		EXCLUDED_INACTIVE	false	546		false	546	546	false
0	910188cde7e2a36859855c9aeffc2c173ab9109a4a9a0529f7a7839d	328778499		EXCLUDED_INACTIVE	false	532		false	532	532	false
0	8e9e78cddb04a25e5f25bf38d962b14f0b392d9591c3115cbe4f98cc	309003255		NON_VOTER_NO	true	595	575	true	595	595	true
0	4b3f38850b866b999ebc7cc8ee1093435221fa1689f773eb562936bd	293249311		NON_VOTER_NO	true	584		true	584	584	true
0	e08aca362c1103133ae722b198380601abf967097355674e4484ba11	290563180		EXCLUDED_INACTIVE	false	548	525	false	548	548	false
0	a3ce3086c9d21851fcd4e70845cbd68edc97d30adedc7bfc20ac65c1	283530706		EXCLUDED_INACTIVE	false	530		false	530	530	false
0	5361fefe2cc920281ec71ceddff2d43fce7c1ab918eddb439199426d	267802118		EXCLUDED_INACTIVE	false	561	540	false	561	561	false
0	812c8dc5595c1943c336928c36b2b6624984efdf552cc246f2642065	263071020		EXCLUDED_INACTIVE	false	529		false	529	507	false
0	930e4aaf735722382c182904687128c33d3affd045908bd1fbf427fe	249665368		EXCLUDED_INACTIVE	false	560		false	560	560	false
